Month,Spend,Spend Growth,Cashback,Cashback %,Cashback Growth,Fee,Fee %,Fee Growth,Users,User Growth,Churn_45d,Churn Growth,ARPU,ARPU Growth,Spend_Target,Cashback_Target,CB Target %,Fee_Target,Fee Target %,Users_Target,ARPU_Target,Churn_45d_Target,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
23-Jun,1030581.6,0%,51191.42,4.97%,0%,20853.49,2.02%,0%,7680,0.0,20.70%,0,9.38,0%,,,,,,,,,,,,,
23-Jul,1141218.92,0.10735425511187076,98363.29,8.62%,92%,22291.25,1.95%,7%,9321,0.213671875,19.60%,-5%,9.81,5%,,,,,,,,,,,,,
23-Aug,848971.99,-0.2560831448535746,48113.02,5.67%,-51%,21152.97,2.49%,-5%,9709,0.04162643493187426,47.70%,143%,7.13,-27%,,,,,,,,,,,,,
23-Sep,976562.98,0.15028880988170173,50864.69,5.21%,6%,21795.83,2.23%,3%,5763,-0.4064270264702853,30.90%,-35%,12.61,77%,,,,,,,,,,Metric,Compounded Monthly Growth Rate (%),Total 6-Month Multiplier,Total Compounded Growth (%) in 5 months
23-Oct,981214.76,0.004763420378683644,45916.08,4.68%,-10%,24190.68,2.47%,11%,6496,0.127190699288565,28.40%,-8%,10.79,-14%,,,,,,,,,,Spend,6%,1.338226,33.82%
23-Nov,1405520.86,0.43242938987179536,86546.2,6.16%,88%,30558.48,2.17%,26%,8193,0.26123768472906406,27.00%,-5%,14.29,32%,,,,,,,,,,Cashback,12%,1.762342,76.23%
23-Dec,2609041.62,0.8562809661892886,67055.01,2.57%,-23%,28848.56,1.11%,-6%,8938,0.09093128280239228,23.00%,-15%,10.73,-25%,,,,,,,,,,Fee,11%,1.685058,68.51%
24-Jan,754477.05,-0.7108221485558364,36403.84,4.83%,-46%,18599.75,2.47%,-36%,5528,-0.3815171179234728,38.80%,69%,9.95,-7%,,,,,,,,,,Users,8%,1.469328,46.93%
24-Feb,945195.49,0.2527822947033312,44770.55,4.74%,23%,34971.7,3.70%,88%,6196,0.12083936324167872,38.20%,-2%,8.87,-11%,,,,,,,,,,ARPU,10.00%,1.61051,61.05%
24-Mar,1116311.54,0.18103773432097106,48365.58,4.33%,8%,28248.43,2.53%,-19%,6456,0.04196255648805681,28.70%,-25%,8.17,-8%,,,,,,,,,,Churn_45d,-10.00%,0.59049,-40.95%
24-Apr,1133554.53,0.015446395904856443,48441.28,4.27%,0%,22803.52,2.01%,-19%,6871,0.06428128872366791,31.30%,9%,10.37,27%,,,,,,,,,,,,,
24-May,2209542.56,0.949215941115775,139636.91,6.32%,188%,48593.52,2.20%,113%,16179,1.3546790860136806,17.20%,-45%,11.63,12%,,,,,,,,,,,,,
24-Jun,2343867.86,0.060793262113041084,118384.77,5.05%,-15%,46124.13,1.97%,-5%,17438,0.07781692317201311,26.60%,55%,11.43,-2%,,,,,,,,,,,,,
24-Jul,2236577.61,-0.04577487145542412,91471.38,4.09%,-23%,42659.21,1.91%,-8%,14309,-0.17943571510494322,36.50%,37%,9.37,-18%,,,,,,,,,,,,,
24-Aug,2556617.55,0.1430935991530381,103340.56,4.04%,13%,48771.11,1.91%,14%,15881,0.10986092668949612,26.80%,-27%,9.58,2%,,,,,,,,,,,,,
24-Sep,2469674.67,-0.03400699490621892,100431.04,4.07%,-3%,48099.78,1.95%,-1%,16151,0.017001448271519427,26.50%,-1%,9.2,-4%,,,,,,,,,,,,,
24-Oct,2729528.64,0.10521789495456105,122992.62,4.51%,22%,55341.42,2.03%,15%,17680,0.09466906073927311,26.60%,0%,9.9,8%,,,,,,,,,,,,,
24-Nov,4070598.14,0.4913190799126401,168880.97,4.15%,37%,56304.72,1.38%,2%,22790,0.28902714932126694,23.20%,-13%,11.15,13%,,,,,,,,,,,,,
24-Dec,4278191.66,0.05099828400157428,164546.51,3.85%,-3%,58227.24,1.36%,3%,25418,0.11531373409390083,20.40%,-12%,9.71,-13%,,,,,,,,,,,,,
25-Jan,3287480.98,-0.23157229940465082,127629.8,3.88%,-22%,61542.65,1.87%,6%,20632,-0.18829176174364623,31.60%,55%,9.17,-6%,,,,,,,,,,,,,
25-Feb,2932190.79,-0.10807368686282101,120204.25,4.10%,-6%,54506.12,1.86%,-11%,19051,-0.0766285381930981,32.00%,1%,9.33,2%,,,,,,,,,,,,,
25-Mar,3617322.57,0.2336586631185755,139697.68,3.86%,16%,60964.74,1.69%,12%,20749,0.08912917957062622,28.70%,-10%,9.67,4%,,,,,,,,,,,,,
25-Apr,3387264.47,-0.06359900051711441,135057.28,3.99%,-3%,57862.03,1.71%,-5%,20376,-0.01797676996481758,27.40%,-5%,9.47,-2%,,,,,,,,,,,,,
25-May,4404143.57,0.30020658528620886,156181.46,3.55%,16%,69587.96,1.58%,20%,24202,0.18776992540243423,24.90%,-9%,9.63,2%,,,,,,,,,,,,,
25-Jun,4761839.2,0.08121797673366944,193432.0,4.06%,24%,82018.09,1.72%,18%,25823,0.06697793570779274,24.10%,-3%,10.54,9%,,,,,,,,,,,,,
25-Jul,4543866.62,-0.0457748720284381,149457.5,3.29%,-23%,75856.76,1.67%,-8%,21189,-0.17945242613174303,33.07%,37%,8.64,-18%,4543866.62,149457.5,3.30%,75856.76,1.67%,21189.0,8.64,33.07%,,,,,
25-Aug,6271007.88,0.38010386405224184,173793.18,3.58%,16%,78794.74,1.62%,4%,40429,0.9080183113879843,31.06%,-6%,8.55,-1%,4816498.62,167392.4,3.50%,84201.0,1.75%,22885.0,9.5,29.76%,,,,,
25-Sep,8451877.53,0.347770197667173,171338.68,3.54%,-1%,79928.05,1.65%,1%,56893,0.4072324321650301,31.06%,0%,9.29,9%,5105488.54,187479.49,3.70%,93463.11,1.83%,24715.0,10.45,26.79%,,,,,
25-Oct,7869408.22,-0.06891596665149496,172202.32,3.53%,1%,79708.16,1.64%,0%,48789,-0.1424428312797708,29.60%,-5%,9.36,1%,9443289.86,209977.03,3.90%,103744.05,1.92%,58547.0,11.5,24.11%,,,,,
25-Nov,8057376.21,0.023885911715989264,167576.93,3.46%,-3%,78123.1,1.62%,-2%,48185,-0.012379839717969214,27.41%,-7%,11.71,25%,9668851.45,235174.27,4.10%,115155.9,2.01%,57822.0,12.65,21.70%,,,,,
25-Dec,8286612.74,0.02845051838531445,167437.86,3.75%,0%,78433.89,1.75%,0%,48079,-0.00219985472657466,29.54%,8%,9.29,-21%,9943935.29,263395.19,4.30%,127823.05,2.10%,57695.0,13.92,19.53%,,,,,
