Month,Spend,Spend Growth,Cashback,Cashback %,Cashback Growth,Fee,Fee %,Fee Growth,Users,User Growth,Churn_45d,Churn Growth,ARPU,ARPU Growth,Spend_Target,Cashback_Target,CB Target %,Fee_Target,Fee Target %,Users_Target,ARPU_Target,Churn_45d_Target,,,,,
23-Jun,"$1,030,581.60 ",0%,"$51,191.42 ",4.97%,0%,"$20,853.49 ",2.02%,0%,7680,0,20.70%,0,$9.38 ,0%,,,,,,,,,,,,,
23-Jul,"$1,141,218.92 ",11%,"$98,363.29 ",8.62%,92%,"$22,291.25 ",1.95%,7%,9321,21%,19.60%,-5%,$9.81 ,5%,,,,,,,,,,,,,
23-Aug,"$848,971.99 ",-26%,"$48,113.02 ",5.67%,-51%,"$21,152.97 ",2.49%,-5%,9709,4%,47.70%,143%,$7.13 ,-27%,,,,,,,,,,,,,
23-Sep,"$976,562.98 ",15%,"$50,864.69 ",5.21%,6%,"$21,795.83 ",2.23%,3%,5763,-41%,30.90%,-35%,$12.61 ,77%,,,,,,,,,,Metric,Compounded Monthly Growth Rate (%),Total 6-Month Multiplier,Total Compounded Growth (%) in 5 months
23-Oct,"$981,214.76 ",0%,"$45,916.08 ",4.68%,-10%,"$24,190.68 ",2.47%,11%,6496,13%,28.40%,-8%,$10.79 ,-14%,,,,,,,,,,Spend,6%,1.338226,33.82%
23-Nov,"$1,405,520.86 ",43%,"$86,546.20 ",6.16%,88%,"$30,558.48 ",2.17%,26%,8193,26%,27.00%,-5%,$14.29 ,32%,,,,,,,,,,Cashback,12%,1.762342,76.23%
23-Dec,"$2,609,041.62 ",86%,"$67,055.01 ",2.57%,-23%,"$28,848.56 ",1.11%,-6%,8938,9%,23.00%,-15%,$10.73 ,-25%,,,,,,,,,,Fee,11%,1.685058,68.51%
24-Jan,"$754,477.05 ",-71%,"$36,403.84 ",4.83%,-46%,"$18,599.75 ",2.47%,-36%,5528,-38%,38.80%,69%,$9.95 ,-7%,,,,,,,,,,Users,8%,1.469328,46.93%
24-Feb,"$945,195.49 ",25%,"$44,770.55 ",4.74%,23%,"$34,971.70 ",3.70%,88%,6196,12%,38.20%,-2%,$8.87 ,-11%,,,,,,,,,,ARPU,10.00%,1.61051,61.05%
24-Mar,"$1,116,311.54 ",18%,"$48,365.58 ",4.33%,8%,"$28,248.43 ",2.53%,-19%,6456,4%,28.70%,-25%,$8.17 ,-8%,,,,,,,,,,Churn_45d,-10.00%,0.59049,-40.95%
24-Apr,"$1,133,554.53 ",2%,"$48,441.28 ",4.27%,0%,"$22,803.52 ",2.01%,-19%,6871,6%,31.30%,9%,$10.37 ,27%,,,,,,,,,,,,,
24-May,"$2,209,542.56 ",95%,"$139,636.91 ",6.32%,188%,"$48,593.52 ",2.20%,113%,16179,135%,17.20%,-45%,$11.63 ,12%,,,,,,,,,,,,,
24-Jun,"$2,343,867.86 ",6%,"$118,384.77 ",5.05%,-15%,"$46,124.13 ",1.97%,-5%,17438,8%,26.60%,55%,$11.43 ,-2%,,,,,,,,,,,,,
24-Jul,"$2,236,577.61 ",-5%,"$91,471.38 ",4.09%,-23%,"$42,659.21 ",1.91%,-8%,14309,-18%,36.50%,37%,$9.37 ,-18%,,,,,,,,,,,,,
24-Aug,"$2,556,617.55 ",14%,"$103,340.56 ",4.04%,13%,"$48,771.11 ",1.91%,14%,15881,11%,26.80%,-27%,$9.58 ,2%,,,,,,,,,,,,,
24-Sep,"$2,469,674.67 ",-3%,"$100,431.04 ",4.07%,-3%,"$48,099.78 ",1.95%,-1%,16151,2%,26.50%,-1%,$9.20 ,-4%,,,,,,,,,,,,,
24-Oct,"$2,729,528.64 ",11%,"$122,992.62 ",4.51%,22%,"$55,341.42 ",2.03%,15%,17680,9%,26.60%,0%,$9.90 ,8%,,,,,,,,,,,,,
24-Nov,"$4,070,598.14 ",49%,"$168,880.97 ",4.15%,37%,"$56,304.72 ",1.38%,2%,22790,29%,23.20%,-13%,$11.15 ,13%,,,,,,,,,,,,,
24-Dec,"$4,278,191.66 ",5%,"$164,546.51 ",3.85%,-3%,"$58,227.24 ",1.36%,3%,25418,12%,20.40%,-12%,$9.71 ,-13%,,,,,,,,,,,,,
25-Jan,"$3,287,480.98 ",-23%,"$127,629.80 ",3.88%,-22%,"$61,542.65 ",1.87%,6%,20632,-19%,31.60%,55%,$9.17 ,-6%,,,,,,,,,,,,,
25-Feb,"$2,932,190.79 ",-11%,"$120,204.25 ",4.10%,-6%,"$54,506.12 ",1.86%,-11%,19051,-8%,32.00%,1%,$9.33 ,2%,,,,,,,,,,,,,
25-Mar,"$3,617,322.57 ",23%,"$139,697.68 ",3.86%,16%,"$60,964.74 ",1.69%,12%,20749,9%,28.70%,-10%,$9.67 ,4%,,,,,,,,,,,,,
25-Apr,"$3,387,264.47 ",-6%,"$135,057.28 ",3.99%,-3%,"$57,862.03 ",1.71%,-5%,20376,-2%,27.40%,-5%,$9.47 ,-2%,,,,,,,,,,,,,
25-May,"$4,404,143.57 ",30%,"$156,181.46 ",3.55%,16%,"$69,587.96 ",1.58%,20%,24202,19%,24.90%,-9%,$9.63 ,2%,,,,,,,,,,,,,
25-Jun,"$4,761,839.20 ",8%,"$193,432.00 ",4.06%,24%,"$82,018.09 ",1.72%,18%,25823,7%,24.10%,-3%,$10.54 ,9%,,,,,,,,,,,,,
25-Jul,"$4,543,866.62 ",-5%,"$149,457.50 ",3.29%,-23%,"$75,856.76 ",1.67%,-8%,21189,-18%,33.07%,37%,$8.64 ,-18%,"$4,543,866.62 ","$149,457.50 ",3.30%,"$75,856.76 ",1.67%,21189,$8.64 ,33.07%,,,,,
25-Aug,"$4,858,964.79 ",7%,"$173,793.18 ",3.58%,16%,"$78,794.74 ",1.62%,4%,28699,35%,31.06%,-6%,$8.55 ,-1%,"$4,816,498.62 ","$167,392.40 ",3.50%,"$84,201.00 ",1.75%,22885,$9.50 ,29.76%,,,,,
25-Sep,"$4,846,007.50 ",0%,"$171,338.68 ",3.54%,-1%,"$79,928.05 ",1.65%,1%,28693,0%,31.06%,0%,$9.29 ,9%,"$5,105,488.54 ","$187,479.49 ",3.70%,"$93,463.11 ",1.83%,24715,$10.45 ,26.79%,,,,,
25-Oct,"$4,873,929.03 ",1%,"$172,202.32 ",3.53%,1%,"$79,708.16 ",1.64%,0%,30121,5%,29.60%,-5%,$9.36 ,1%,"$5,411,817.85 ","$209,977.03 ",3.90%,"$103,744.05 ",1.92%,26693,$11.50 ,24.11%,,,,,
25-Nov,"$4,837,215.33 ",-1%,"$167,576.93 ",3.46%,-3%,"$78,123.10 ",1.62%,-2%,28549,-5%,27.41%,-7%,$11.71 ,25%,"$5,736,526.92 ","$235,174.27 ",4.10%,"$115,155.90 ",2.01%,28828,$12.65 ,21.70%,,,,,
25-Dec,"$4,470,707.84 ",-8%,"$167,437.86 ",3.75%,0%,"$78,433.89 ",1.75%,0%,28376,-1%,29.54%,8%,$9.29 ,-21%,"$6,080,718.54 ","$263,395.19 ",4.30%,"$127,823.05 ",2.10%,31134,$13.92 ,19.53%,,,,,
